Source,Target,Effect,SE,|Effect|/SE,P_empirical,p.adjusted
D13Mit88,BV.TV,0.557142233812633,0.108461563504192,5.13677118245765,0,< 0.00323
D4Mit42,pQCT.fem.dens,0.577247516447017,0.112462643301184,5.13279342813508,0,< 0.00323
D12Mit60,BV.TV.TRABECULAR,-0.686372651014533,0.134068916320134,5.11955097313976,0,< 0.00323
D11Mit188,D1Mit540,-0.526308443327765,0.10284150696577,5.11766560852656,0,< 0.00323
D9Mit90,BMD.g.cm2,-0.541329043101747,0.105823252137499,5.11540736244228,0,< 0.00323
D3MIT178,BV.CORTICAL,0.605527851861736,0.118666039037217,5.10278978530515,0,< 0.00323
D9Mit151,BV.TV,-0.601900422407639,0.118024809330396,5.09977881618679,0,< 0.00323
D11Mit188,D1Mit14,-0.507942516175313,0.0996041965727705,5.09960959129078,0,< 0.00323
D19MIT88,peri.c,-0.568098628477749,0.111437621622998,5.09790697435797,0,< 0.00323
D2MIT206,C.Th,0.584616028488269,0.114786921352488,5.09305434451916,0,< 0.00323
D19Mit40,peri.c,-0.568624817388673,0.111751150002196,5.08831289322301,0,< 0.00323
D1Mit540,pctFat,0.663409312129696,0.130550057780832,5.08164702035929,0,< 0.00323
D2Mit395,cort.thick,0.545848656892879,0.107554307770773,5.07509804308563,0,< 0.00323
D13Mit88,peri.c,-0.60341458967438,0.118983946417858,5.07139498933124,0,< 0.00323
D10Mit126,cort.thick,-0.572704104313362,0.112974514259225,5.06932123646285,0,< 0.00323
D1Mit236,endo.c,-0.612912728303354,0.121287045869103,5.05340635441671,0,< 0.00323
D8Mit200,pQCT.fem.dens,0.50894340684454,0.100857094052893,5.04618352951584,0,< 0.00323
D18Mit147,BV.TV.TRABECULAR,-0.549212986187439,0.108946450271922,5.04112786434662,0,< 0.00323
D13Mit125,endo.c,-0.656701167341991,0.130273476253348,5.04094299337555,0,< 0.00323
D4Mit111,cort.thick,0.58414667800914,0.115892064997535,5.04043722080167,0,< 0.00323
D8Mit124,STIFFNESS,-0.513253993662775,0.101853793909664,5.03912494529158,0,< 0.00323
D4Mit111,pQCT.fem.dens,0.518382227371535,0.102881745651376,5.03862200324751,0,< 0.00323
